video_name,frame_no,LED_no,x,y,threshold
Theo_Phase1_140_Both.mp4,166,7,809,63,245
Theo_Phase3_140_Both.mp4,121,1,678,48,245
Theo_Phase3_140_Both.mp4,121,2,700,51,245
Theo_Phase3_140_Both.mp4,121,3,718,56,245
Theo_Phase3_140_Both.mp4,121,4,737,57,245
Theo_Phase3_140_Both.mp4,121,5,760,60,245
Theo_Phase3_140_Both.mp4,121,6,783,61,245
Theo_Phase3_140_Both.mp4,121,7,805,63,245
Waks_Phase1_60_Both.mp4,154,1,672,53,245
Waks_Phase1_60_Both.mp4,154,2,696,53,245
Waks_Phase1_60_Both.mp4,154,3,714,57,245
Waks_Phase1_60_Both.mp4,154,4,731,59,245
Waks_Phase1_60_Both.mp4,154,5,756,60,245
Waks_Phase1_60_Both.mp4,154,6,779,62,245
Waks_Phase1_60_Both.mp4,154,7,800,64,245
Waks_Phase1_100_Both.mp4,68,1,674,48,245
Waks_Phase1_100_Both.mp4,68,2,698,51,245
Waks_Phase1_100_Both.mp4,68,3,714,57,245
Waks_Phase1_100_Both.mp4,68,4,732,56,245
Waks_Phase1_100_Both.mp4,68,5,758,60,245
Waks_Phase1_100_Both.mp4,68,6,780,62,245
Waks_Phase1_100_Both.mp4,68,7,804,65,245
Waks_Phase1_140_Both.mp4,106,1,676,37,245
Waks_Phase1_140_Both.mp4,106,2,697,42,245
Waks_Phase1_140_Both.mp4,106,3,716,48,245
Waks_Phase1_140_Both.mp4,106,4,735,49,245
Waks_Phase1_140_Both.mp4,106,5,757,53,245
Waks_Phase1_140_Both.mp4,106,6,779,58,245
Waks_Phase1_140_Both.mp4,106,7,804,58,245
Waks_Phase2_60_Both.mp4,148,1,673,40,245
Waks_Phase2_60_Both.mp4,148,2,697,42,245
Waks_Phase2_60_Both.mp4,148,3,717,47,245
Waks_Phase2_60_Both.mp4,148,4,734,50,245
Waks_Phase2_60_Both.mp4,148,5,757,53,245
Waks_Phase2_60_Both.mp4,148,6,780,56,245
Waks_Phase2_60_Both.mp4,148,7,804,60,245
Waks_Phase2_100_Both.mp4,144,1,673,37,245
Waks_Phase2_100_Both.mp4,144,2,699,44,245
Waks_Phase2_100_Both.mp4,144,3,716,50,245
Waks_Phase2_100_Both.mp4,144,4,735,50,245
Waks_Phase2_100_Both.mp4,144,5,753,52,245
Waks_Phase2_100_Both.mp4,144,6,779,56,245
Waks_Phase2_100_Both.mp4,144,7,803,61,245
Waks_Phase2_140_Both.mp4,119,1,668,41,245
Waks_Phase2_140_Both.mp4,119,2,697,44,245
Waks_Phase2_140_Both.mp4,119,3,713,50,245
Waks_Phase2_140_Both.mp4,119,4,733,51,245
Waks_Phase2_140_Both.mp4,119,5,755,53,245
Waks_Phase2_140_Both.mp4,119,6,776,57,245
Waks_Phase2_140_Both.mp4,119,7,802,60,245
